Tube,Line,rep_num,CollectionDate,FlowerPos,LongStamenNum,ShortStamenNum,IsSideFlower,collection
79,SALK_055242,2,1/19/22,29,4,2,0,
80,Col,6,1/19/22,25,4,2,0,
80,Col,6,1/19/22,26,4,2,0,
80,Col,6,1/19/22,27,4,1,0,
81,Col,18,1/19/22,13,4,2,0,
81,Col,18,1/19/22,14,4,2,0,
81,Col,18,1/19/22,8,4,2,1,
82,SALK_055242,6,1/19/22,23,4,2,0,
82,SALK_055242,6,1/19/22,24,4,2,0,
82,SALK_055242,6,1/19/22,25,4,2,0,
83,SALK_055242,9,1/19/22,23,4,2,0,
83,SALK_055242,9,1/19/22,24,4,2,0,
83,SALK_055242,9,1/19/22,25,4,2,0,
84,Col,4,1/19/22,18,4,2,0,
84,Col,4,1/19/22,19,4,2,0,
84,Col,4,1/21/22,22,4,2,0,
85,SALK_065777,6,1/21/22,29,4,2,0,
85,SALK_065777,6,1/21/22,30,4,1,0,
85,SALK_065777,6,1/21/22,31,4,1,0,
86,SALK_065777,9,1/21/22,19,4,2,0,
86,SALK_065777,9,1/21/22,20,4,2,0,
86,SALK_065777,9,1/21/22,8,4,2,1,
87,SALK_065777,10,1/21/22,16,4,2,0,
87,SALK_065777,10,1/21/22,17,4,2,0,
87,SALK_065777,10,1/21/22,18,4,2,0,
88,Col,15,1/21/22,31,4,2,0,
88,Col,15,1/21/22,32,4,2,0,
88,Col,15,1/21/22,19,4,1,1,
89,SALK_065777,11,1/21/22,20,4,2,0,
89,SALK_065777,11,1/21/22,21,4,2,0,
89,SALK_065777,11,1/21/22,10,4,2,1,
90,Col,19,1/21/22,23,4,2,0,
90,Col,19,1/21/22,24,4,2,0,
90,Col,19,1/21/22,25,4,2,0,
91,Col,5,1/21/22,28,4,2,0,
91,Col,5,1/21/22,29,4,2,0,
91,Col,5,1/21/22,30,4,2,0,
92,SALK_089563,3,1/21/22,26,4,2,0,
92,SALK_089563,3,1/21/22,27,4,2,0,
92,SALK_089563,3,1/21/22,28,4,2,0,
93,Col,8,1/21/22,23,4,2,0,
93,Col,8,1/21/22,24,4,2,0,
93,Col,8,1/21/22,25,4,2,0,
94,Col,11,1/21/22,30,4,2,0,
94,Col,11,1/21/22,31,4,2,0,
94,Col,11,1/21/22,32,4,2,0,
95,Col,20,1/21/22,17,4,2,0,
95,Col,20,1/21/22,18,4,2,0,
95,Col,20,1/21/22,19,4,2,0,
96,SALK_012835,9,1/21/22,13,4,2,1,
96,SALK_012835,9,1/21/22,14,4,2,1,
96,SALK_012835,9,1/21/22,15,4,2,1,
97,SALK_089563,9,1/21/22,26,4,2,0,
97,SALK_089563,9,1/21/22,27,4,2,0,
97,SALK_089563,9,1/21/22,28,4,2,0,
98,SALK_089563,11,1/21/22,27,4,1,0,
98,SALK_089563,11,1/21/22,28,4,2,0,
98,SALK_089563,11,1/21/22,29,4,1,0,
99,SALK_089563,7,1/21/22,20,4,2,0,
99,SALK_089563,7,1/21/22,21,4,1,0,
99,SALK_089563,7,1/21/22,22,4,2,0,
100,Col,1,1/21/22,28,4,2,0,
100,Col,1,1/21/22,29,4,2,0,
100,Col,1,1/21/22,30,4,2,0,
101,SALK_012835,4,1/21/22,27,4,2,0,
101,SALK_012835,4,1/21/22,28,4,2,0,
101,SALK_012835,4,1/21/22,29,4,2,0,
102,Col,16,1/21/22,26,4,2,0,
102,Col,16,1/21/22,27,4,2,0,
102,Col,16,1/21/22,28,4,2,0,
103,Col,2,1/21/22,23,4,2,0,
103,Col,2,1/21/22,24,4,2,0,
103,Col,2,1/21/22,25,4,2,0,
104,SALK_028815,4,1/21/22,8,4,2,1,
104,SALK_028815,4,1/21/22,9,4,1,1,
104,SALK_028815,4,1/21/22,10,4,1,1,
105,SALK_012835,2,1/24/22,6,4,2,1,
105,SALK_012835,2,1/24/22,7,4,2,1,
105,SALK_012835,2,1/24/22,8,4,2,1,
106,SALK_012835,8,1/24/22,6,4,2,1,
106,SALK_012835,8,1/24/22,7,4,2,1,
106,SALK_012835,8,1/24/22,8,4,2,1,
107,SALK_028815,1,1/24/22,31,4,2,,
107,SALK_028815,1,1/24/22,32,4,2,0,
107,SALK_028815,1,1/24/22,33,4,2,0,
108,SALK_028815,8,1/24/22,33,4,2,0,
108,SALK_028815,8,1/24/22,34,4,2,0,
108,SALK_028815,8,1/24/22,35,4,2,0,
109,Col,13,1/24/22,29,4,2,0,
109,Col,13,1/24/22,30,4,2,0,
109,Col,13,1/24/22,16,4,1,1,
110,Col,8,1/24/22,31,4,2,0,
110,Col,8,1/24/22,32,4,2,0,
110,Col,8,1/24/22,33,4,2,0,
111,Col,20,1/24/22,24,4,2,0,
111,Col,20,1/24/22,25,4,2,0,
111,Col,20,1/24/22,26,4,2,0,
112,Col,3,1/25/22,16,4,1,1,
112,Col,3,1/25/22,17,3,2,1,
113,Col,14,1/25/22,29,4,1,0,
113,Col,14,1/25/22,30,4,2,0,
113,Col,14,1/25/22,31,4,2,0,
114,Col,18,1/25/22,21,4,1,0,
114,Col,18,1/25/22,22,4,2,0,
114,Col,18,1/25/22,13,4,1,1,
115,SALK_055242,3,1/25/22,29,4,2,0,
115,SALK_055242,3,1/25/22,30,4,1,0,
115,SALK_055242,3,1/25/22,13,4,2,1,
116,SALK_055242,9,1/25/22,37,4,2,0,
116,SALK_055242,9,1/25/22,38,4,2,0,
116,SALK_055242,9,1/25/22,39,4,2,0,
117,Col,4,1/25/22,27,4,1,0,
117,Col,4,1/25/22,28,4,2,0,
117,Col,4,1/25/22,29,3,2,0,
118,Col,7,1/25/22,31,4,2,0,
118,Col,7,1/25/22,32,4,2,0,
118,Col,7,1/25/22,12,4,2,1,
119,SALK_065777,9,1/25/22,25,4,1,0,
119,SALK_065777,9,1/25/22,26,4,2,0,
119,SALK_065777,9,1/25/22,27,4,2,0,
120,SALK_065777,10,1/25/22,26,4,2,0,
120,SALK_065777,10,1/25/22,27,4,2,0,
120,SALK_065777,10,1/25/22,28,4,2,0,
121,SALK_065777,11,1/25/22,26,4,2,0,
121,SALK_065777,11,1/25/22,27,4,2,0,
121,SALK_065777,11,1/25/22,28,4,2,0,
122,SALK_089563,7,1/25/22,32,4,2,0,
122,SALK_089563,7,1/25/22,33,4,2,0,
122,SALK_089563,7,1/25/22,31,4,2,0,
123,Col,3,1/27/22,19,4,2,1,
