"id","mean_stamen_number","norm_mean_ss","IT_meandaystoflr","SW_meandaystoflr","ril_ovule_num"
2,5.333333333,-1.14918017086526,113.5,124.6,35
3,4.888888889,-1.91199616510497,115.833333333333,NA,38.5
6,4.888888889,-1.91199616510497,112.666666666667,NA,35
7,5.111111111,-1.53314209507921,103.5,127.857142857143,44
8,4.5,-3.10129193500686,109.666666666667,125,45
9,5.111111111,-1.53314209507921,101.166666666667,131.666666666667,41
10,5.75,-0.283891858027877,113,126.5,40
11,5.2,-1.37362915777446,109.8,NA,51
13,5.444444444,-0.940773762562063,112.666666666667,125.5,37
14,4.933333333,-1.79147111142778,107.333333333333,129.5,47
15,NA,NA,NA,NA,39.5
16,5.466666667,-0.896581644050448,115.5,129.857142857143,48
18,6,1.13988249188633,118,136.2,40
19,5.722222222,-0.391309603980077,114.166666666667,131.25,44
20,5.736111111,-0.299009807213397,116.666666666667,126.571428571429,35
21,5.6,-0.660909239720822,107,128.6,45
23,5.777777778,-0.224027338422406,117.833333333333,128.75,52
24,5.777777778,-0.224027338422406,115.333333333333,129.25,28
25,5.666666667,-0.514451420884401,119.333333333333,NA,22
26,5.2,-1.37362915777446,111.666666666667,132.25,41
28,6,1.13988249188633,107.5,128.5,47
29,5.75,-0.283891858027877,121.166666666667,129.333333333333,42
30,5.666666667,-0.514451420884401,113.333333333333,125.8,45
31,5.611111111,-0.61357072056104,109.333333333333,125.666666666667,42
32,5.611111111,-0.61357072056104,113.5,130.833333333333,33
34,5.666666667,-0.514451420884401,115.5,128,47
35,4.833333333,-2.02967869368633,116.166666666667,NA,32.2
36,5.933333333,0.500716969809112,116.666666666667,134.2,39
38,5.5,-0.843687721392016,115,135.333333333333,36
39,5.733333333,-0.326907355493239,115.166666666667,NA,44
40,6,1.13988249188633,119.333333333333,NA,31
41,5.694444444,-0.438689798658617,118.833333333333,129,34
42,5.388888889,-1.0730760534506,115,135.25,41
43,5.611111111,-0.61357072056104,114,125.666666666667,33
44,5.933333333,0.500716969809112,116,128.285714285714,36
46,6,1.13988249188633,116,128.714285714286,47
47,5.555555556,-0.741196704774636,117.833333333333,131.666666666667,36
48,5.388888889,-1.0730760534506,113.833333333333,126,47
50,5.333333333,-1.14918017086526,113.833333333333,126.285714285714,35
51,5.833333333,-0.00482974570280406,119,NA,40
52,5.777777778,-0.224027338422406,110.5,125.166666666667,40
53,5.888888889,0.268838519478982,116.166666666667,136.666666666667,49
54,5.944444444,0.59905988959618,113.166666666667,134.666666666667,33
57,5.333333333,-1.14918017086526,113.333333333333,NA,42
58,5.861111111,0.0967452436887267,115.833333333333,NA,40
59,5.916666667,0.396528975997477,120.8,139,36
60,NA,NA,NA,NA,NA
61,5.866666667,0.145402534633602,119.5,130.25,31
62,5.8,-0.130774422330991,118.833333333333,NA,23
64,5.722222222,-0.391309603980077,115.333333333333,132.666666666667,47
65,5.666666667,-0.514451420884401,114.666666666667,NA,49
66,5.666666667,-0.514451420884401,116.333333333333,128,36
