QN_no6s_stamen_number,QN_mean_stamen_number,no6s_stamen_number,mean_stamen_number,id,QTL1,QTL3,QTL4,QTL5
,1.136447727,,6,231,a,b,a,b
0.884755232,0.268308923,5.888888889,5.888888889,232,b,b,a,b
-0.501556704,-0.739480322,5.555555556,5.555555556,234,a,a,a,b
,1.136447727,,6,236,b,b,a,a
,1.136447727,,6,237,b,b,a,b
-1.371872628,-1.526348577,5.111111111,5.111111111,239,a,,b,a
-0.557304228,-0.787876017,5.533333333,5.533333333,240,b,a,b,a
-0.352815445,-0.612231482,5.611111111,5.611111111,241,a,b,a,a
0.884755232,0.268308923,5.888888889,5.888888889,242,b,a,a,b
0.433091285,-0.004820458,5.833333333,5.833333333,243,b,a,b,b
0.254681544,-0.130521499,5.8,5.8,245,b,b,b,b
0.666401288,0.145120941,5.866666667,5.866666667,246,a,b,a,b
,1.136447727,,6,247,b,a,a,a
,1.136447727,,6,249,b,a,b,b
0.433091285,-0.004820458,5.833333333,5.833333333,251,b,b,b,a
,1.136447727,,6,252,a,b,b,b
0.884755232,0.268308923,5.888888889,5.888888889,253,a,b,a,b
-0.003230197,-0.326255876,5.733333333,5.733333333,254,a,a,b,b
-0.658356192,-0.876479841,5.476190476,5.476190476,255,a,b,a,a
-1.946902776,-2.069901831,4.805555556,4.805555556,256,a,a,a,a
,,,,258,a,b,a,b
1.905608404,0.597760126,5.944444444,5.944444444,259,b,b,b,
,1.136447727,,6,260,b,b,b,b
,1.136447727,,6,262,b,b,a,b
,1.136447727,,6,263,b,a,a,b
0.254681544,-0.130521499,5.8,5.8,264,b,b,a,a
-0.797332876,-1.000005818,5.416666667,5.416666667,266,b,b,b,b
,1.136447727,,6,267,b,b,b,b
-1.049790524,-1.228576131,5.285714286,5.285714286,268,a,b,a,a
1.156632152,0.395725296,5.916666667,5.916666667,270,b,a,b,b
-0.728193988,-0.938325959,5.444444444,5.444444444,272,a,a,a,b
0.884755232,0.268308923,5.888888889,5.888888889,273,b,a,a,b
0.129569271,-0.223589258,5.777777778,5.777777778,275,b,a,a,b
1.156632152,0.395725296,5.916666667,5.916666667,276,a,a,b,b
-1.371872628,-1.526348577,5.111111111,5.111111111,277,a,a,a,a
-1.371872628,-1.526348577,5.111111111,5.111111111,279,a,a,a,a
1.156632152,0.395725296,5.916666667,5.916666667,281,b,b,b,b
,1.136447727,,6,282,a,b,b,b
-1.162960914,-1.332511066,5.222222222,5.222222222,283,b,a,a,a
-0.003230197,-0.326255876,5.733333333,5.733333333,284,b,a,b,a
,1.136447727,,6,285,a,a,b,b
0.254681544,-0.130521499,5.8,5.8,289,a,b,a,b
,1.136447727,,6,291,a,b,a,b
1.905608404,0.597760126,5.944444444,5.944444444,295,a,b,a,b
0.129569271,-0.223589258,5.777777778,5.777777778,297,b,a,a,b
,,,,298,b,b,a,b
0.666401288,0.145120941,5.866666667,5.866666667,299,b,b,b,a
1.450542787,0.49966967,5.933333333,5.933333333,301,a,b,a,b
,1.136447727,,6,303,b,a,b,b
0.129569271,-0.223589258,5.777777778,5.777777778,304,a,a,b,b
,1.136447727,,6,305,a,b,a,b
-0.234711077,-0.513370313,5.666666667,5.666666667,306,a,a,a,b
1.450542787,0.49966967,5.933333333,5.933333333,308,b,a,b,b
0.433091285,-0.004820458,5.833333333,5.833333333,309,a,a,a,b
1.156632152,0.395725296,5.916666667,5.916666667,310,a,a,a,b
0.433091285,-0.004820458,5.833333333,5.833333333,311,b,b,a,a
0.666401288,0.145120941,5.866666667,5.866666667,312,b,a,b,b
1.450542787,0.49966967,5.933333333,5.933333333,313,a,b,a,b
,1.136447727,,6,314,b,a,b,b
0.433091285,-0.004820458,5.833333333,5.833333333,316,b,b,b,b
1.156632152,0.395725296,5.916666667,5.916666667,317,b,b,b,b
0.572460101,0.086877064,5.854166667,5.854166667,323,a,a,a,b
1.156632152,0.395725296,5.916666667,5.916666667,324,b,a,a,b
,1.136447727,,6,326,a,b,a,b
-0.728193988,-0.938325959,5.444444444,5.444444444,327,b,b,b,b
-1.264123879,-1.426076872,5.166666667,5.166666667,328,b,b,a,a
-0.766634312,-0.972565632,5.433333333,5.433333333,330,a,a,b,a
,1.136447727,,6,331,a,b,a,b
-1.694311083,-1.82961391,4.916666667,4.916666667,332,a,a,a,b
-0.618747862,-0.841621234,5.5,5.5,333,b,a,a,b
0.666401288,0.145120941,5.866666667,5.866666667,334,a,b,b,b
,1.136447727,,6,335,b,b,a,a
1.450542787,0.49966967,5.933333333,5.933333333,336,b,a,a,b
-0.234711077,-0.513370313,5.666666667,5.666666667,337,a,b,a,a
,1.136447727,,6,338,b,a,b,b
0.433091285,-0.004820458,5.833333333,5.833333333,339,a,a,a,b
,1.136447727,,6,340,a,b,a,b
,1.136447727,,6,341,a,a,a,b
,1.136447727,,6,342,b,b,b,b
,,,,343,b,,b,b
,1.136447727,,6,344,b,a,b,b
,1.136447727,,6,345,b,b,a,b
-0.084083943,-0.390517596,5.722222222,5.722222222,347,b,b,a,a
,1.136447727,,6,348,a,b,a,b
,1.136447727,,6,349,b,a,a,b
